SampleName,StartDate,EndDate
TEM ABF Effluent (TF 1) (08-01-2025),8/1/2025,1/9/2026

SampleNumber,SampleName1,SampledDate,Parameter,SWPPRCalc,ReportedResult,Qual,Unit
ST25OCT27-01-034 ,TEM ABF Effluent (10-26-2025),10/26/2025,pH,7.38,7.38,,pH Units
ST25OCT27-01-034 ,TEM ABF Effluent (10-26-2025),10/26/2025,Soluble BOD,191,191,,mg/L
ST25OCT27-01-034 ,TEM ABF Effluent (10-26-2025),10/26/2025,% Volatile Suspended Solids,90,90,,%
ST25OCT27-01-034 ,TEM ABF Effluent (10-26-2025),10/26/2025,Total Suspended Solids,280,280,,mg/L
ST25OCT27-01-034 ,TEM ABF Effluent (10-26-2025),10/26/2025,Volatile Suspended Solids,252,252,,mg/L
ST25OCT28-01-034 ,TEM ABF Effluent (10-27-2025),10/27/2025,% Volatile Suspended Solids,90,90,,%
ST25OCT28-01-034 ,TEM ABF Effluent (10-27-2025),10/27/2025,Total Suspended Solids,186,186,,mg/L
ST25OCT28-01-034 ,TEM ABF Effluent (10-27-2025),10/27/2025,Volatile Suspended Solids,167,167,,mg/L
ST25OCT28-01-034 ,TEM ABF Effluent (10-27-2025),10/27/2025,pH,7.38,7.38,,pH Units
ST25OCT28-01-034 ,TEM ABF Effluent (10-27-2025),10/27/2025,Soluble BOD,75,75,,mg/L
ST25OCT29-01-034 ,TEM ABF Effluent (10-28-2025),10/28/2025,% Volatile Suspended Solids,94,94,,%
ST25OCT29-01-034 ,TEM ABF Effluent (10-28-2025),10/28/2025,Total Suspended Solids,117,117,,mg/L
ST25OCT29-01-034 ,TEM ABF Effluent (10-28-2025),10/28/2025,Volatile Suspended Solids,110,110,,mg/L
ST25OCT29-01-034 ,TEM ABF Effluent (10-28-2025),10/28/2025,pH,7.55,7.55,,pH Units
ST25OCT29-01-034 ,TEM ABF Effluent (10-28-2025),10/28/2025,Soluble BOD,73,73,,mg/L
ST25OCT30-01-036 ,TEM ABF Effluent (10-29-2025),10/29/2025,pH,7.40,7.40,,pH Units
ST25OCT30-01-036 ,TEM ABF Effluent (10-29-2025),10/29/2025,Soluble BOD,275,275,,mg/L
ST25OCT30-01-036 ,TEM ABF Effluent (10-29-2025),10/29/2025,% Volatile Suspended Solids,98,98,,%
ST25OCT30-01-036 ,TEM ABF Effluent (10-29-2025),10/29/2025,Total Suspended Solids,208,208,,mg/L
ST25OCT30-01-036 ,TEM ABF Effluent (10-29-2025),10/29/2025,Volatile Suspended Solids,204,204,,mg/L
ST25OCT31-01-035,TEM ABF Effluent (10-30-2025),10/30/2025,pH,7.62,7.62,,pH Units
ST25OCT31-01-035,TEM ABF Effluent (10-30-2025),10/30/2025,Soluble BOD,61,61,,mg/L
ST25OCT31-01-035,TEM ABF Effluent (10-30-2025),10/30/2025,% Volatile Suspended Solids,73,73,,%
ST25OCT31-01-035,TEM ABF Effluent (10-30-2025),10/30/2025,Total Suspended Solids,190,190,,mg/L
ST25OCT31-01-035,TEM ABF Effluent (10-30-2025),10/30/2025,Volatile Suspended Solids,138,138,,mg/L
ST25NOV01-07-033 ,TEM ABF Effluent (10-31-2025),10/31/2025,% Volatile Suspended Solids,70,70,,%
ST25NOV01-07-033 ,TEM ABF Effluent (10-31-2025),10/31/2025,Total Suspended Solids,124,124,,mg/L
ST25NOV01-07-033 ,TEM ABF Effluent (10-31-2025),10/31/2025,Volatile Suspended Solids,88,88,,mg/L
ST25NOV01-07-033 ,TEM ABF Effluent (10-31-2025),10/31/2025,pH,7.68,7.68,,pH Units
ST25NOV01-07-033 ,TEM ABF Effluent (10-31-2025),10/31/2025,Soluble BOD,78,78,,mg/L
ST25NOV02-02-033 ,TEM ABF Effluent (11-01-2025),11/1/2025,% Volatile Suspended Solids,82,82,,%
ST25NOV02-02-033 ,TEM ABF Effluent (11-01-2025),11/1/2025,Total Suspended Solids,291,291,,mg/L
ST25NOV02-02-033 ,TEM ABF Effluent (11-01-2025),11/1/2025,Volatile Suspended Solids,240,240,,mg/L
ST25NOV02-02-033 ,TEM ABF Effluent (11-01-2025),11/1/2025,pH,7.51,7.51,,pH Units
ST25NOV02-02-033 ,TEM ABF Effluent (11-01-2025),11/1/2025,Soluble BOD,153,153,,mg/L
ST25NOV03-01-034 ,TEM ABF Effluent (11-02-2025),11/2/2025,% Volatile Suspended Solids,92,92,,%
ST25NOV03-01-034 ,TEM ABF Effluent (11-02-2025),11/2/2025,Total Suspended Solids,508,508,,mg/L
ST25NOV03-01-034 ,TEM ABF Effluent (11-02-2025),11/2/2025,Volatile Suspended Solids,468,468,,mg/L
ST25NOV03-01-034 ,TEM ABF Effluent (11-02-2025),11/2/2025,pH,7.61,7.61,,pH Units
ST25NOV03-01-034 ,TEM ABF Effluent (11-02-2025),11/2/2025,Soluble BOD,202,202,,mg/L
ST25NOV04-01-034 ,TEM ABF Effluent (11-03-2025),11/3/2025,% Volatile Suspended Solids,82,82,,%
ST25NOV04-01-034 ,TEM ABF Effluent (11-03-2025),11/3/2025,Total Suspended Solids,168,168,,mg/L
ST25NOV04-01-034 ,TEM ABF Effluent (11-03-2025),11/3/2025,Volatile Suspended Solids,138,138,,mg/L
ST25NOV04-01-034 ,TEM ABF Effluent (11-03-2025),11/3/2025,pH,7.67,7.67,,pH Units
ST25NOV04-01-034 ,TEM ABF Effluent (11-03-2025),11/3/2025,Soluble BOD,230,230,,mg/L
ST25NOV05-01-034 ,TEM ABF Effluent (11-04-2025),11/4/2025,% Volatile Suspended Solids,84,84,,%
ST25NOV05-01-034 ,TEM ABF Effluent (11-04-2025),11/4/2025,Total Suspended Solids,440,440,,mg/L
ST25NOV05-01-034 ,TEM ABF Effluent (11-04-2025),11/4/2025,Volatile Suspended Solids,370,370,,mg/L
ST25NOV05-01-034 ,TEM ABF Effluent (11-04-2025),11/4/2025,pH,7.45,7.45,,pH Units
ST25NOV05-01-034 ,TEM ABF Effluent (11-04-2025),11/4/2025,Soluble BOD,281,281,,mg/L
ST25NOV06-01-036 ,TEM ABF Effluent (11-05-2025),11/5/2025,pH,7.51,7.51,,pH Units
ST25NOV06-01-036 ,TEM ABF Effluent (11-05-2025),11/5/2025,Soluble BOD,205,205,,mg/L
ST25NOV06-01-036 ,TEM ABF Effluent (11-05-2025),11/5/2025,% Volatile Suspended Solids,84,84,,%
ST25NOV06-01-036 ,TEM ABF Effluent (11-05-2025),11/5/2025,Total Suspended Solids,430,430,,mg/L
ST25NOV06-01-036 ,TEM ABF Effluent (11-05-2025),11/5/2025,Volatile Suspended Solids,360,360,,mg/L
ST25NOV07-01-034 ,TEM ABF Effluent (11-06-2025),11/6/2025,% Volatile Suspended Solids,85,85,,%
ST25NOV07-01-034 ,TEM ABF Effluent (11-06-2025),11/6/2025,Total Suspended Solids,203,203,,mg/L
ST25NOV07-01-034 ,TEM ABF Effluent (11-06-2025),11/6/2025,Volatile Suspended Solids,173,173,,mg/L
ST25NOV07-01-034 ,TEM ABF Effluent (11-06-2025),11/6/2025,pH,7.57,7.57,,pH Units
ST25NOV07-01-034 ,TEM ABF Effluent (11-06-2025),11/6/2025,Soluble BOD,120,120,,mg/L
ST25NOV08-02-033 ,TEM ABF Effluent (11-07-2025),11/7/2025,% Volatile Suspended Solids,89,89,,%
ST25NOV08-02-033 ,TEM ABF Effluent (11-07-2025),11/7/2025,Total Suspended Solids,213,213,,mg/L
ST25NOV08-02-033 ,TEM ABF Effluent (11-07-2025),11/7/2025,Volatile Suspended Solids,189,189,,mg/L
ST25NOV08-02-033 ,TEM ABF Effluent (11-07-2025),11/7/2025,pH,7.46,7.46,,pH Units
ST25NOV08-02-033 ,TEM ABF Effluent (11-07-2025),11/7/2025,Soluble BOD,191,191,,mg/L
ST25NOV09-02-033 ,TEM ABF Effluent (11-08-2025),11/8/2025,% Volatile Suspended Solids,79,79,,%
ST25NOV09-02-033 ,TEM ABF Effluent (11-08-2025),11/8/2025,Total Suspended Solids,228,228,,mg/L
ST25NOV09-02-033 ,TEM ABF Effluent (11-08-2025),11/8/2025,Volatile Suspended Solids,180,180,,mg/L
ST25NOV09-02-033 ,TEM ABF Effluent (11-08-2025),11/8/2025,pH,7.40,7.40,,pH Units
ST25NOV09-02-033 ,TEM ABF Effluent (11-08-2025),11/8/2025,Soluble BOD,172,172,,mg/L
ST25NOV10-01-034 ,TEM ABF Effluent (11-09-2025),11/9/2025,% Volatile Suspended Solids,93,93,,%
ST25NOV10-01-034 ,TEM ABF Effluent (11-09-2025),11/9/2025,Total Suspended Solids,323,323,,mg/L
ST25NOV10-01-034 ,TEM ABF Effluent (11-09-2025),11/9/2025,Volatile Suspended Solids,300,300,,mg/L
ST25NOV10-01-034 ,TEM ABF Effluent (11-09-2025),11/9/2025,pH,7.45,7.45,,pH Units
ST25NOV10-01-034 ,TEM ABF Effluent (11-09-2025),11/9/2025,Soluble BOD,223,223,,mg/L
ST25NOV11-01-034 ,TEM ABF Effluent (11-10-2025),11/10/2025,% Volatile Suspended Solids,87,87,,%
ST25NOV11-01-034 ,TEM ABF Effluent (11-10-2025),11/10/2025,Total Suspended Solids,330,330,,mg/L
ST25NOV11-01-034 ,TEM ABF Effluent (11-10-2025),11/10/2025,Volatile Suspended Solids,288,288,,mg/L
ST25NOV11-01-034 ,TEM ABF Effluent (11-10-2025),11/10/2025,pH,6.35,6.35,,pH Units
ST25NOV11-01-034 ,TEM ABF Effluent (11-10-2025),11/10/2025,Soluble BOD,>228,>228,T,mg/L
ST25NOV12-01-034 ,TEM ABF Effluent (11-11-2025),11/11/2025,% Volatile Suspended Solids,89,89,,%
ST25NOV12-01-034 ,TEM ABF Effluent (11-11-2025),11/11/2025,Total Suspended Solids,259,259,,mg/L
ST25NOV12-01-034 ,TEM ABF Effluent (11-11-2025),11/11/2025,Volatile Suspended Solids,230,230,,mg/L
ST25NOV12-01-034 ,TEM ABF Effluent (11-11-2025),11/11/2025,pH,7.33,7.33,,pH Units
ST25NOV12-01-034 ,TEM ABF Effluent (11-11-2025),11/11/2025,Soluble BOD,186,186,,mg/L
ST25NOV13-01-036 ,TEM ABF Effluent (11-12-2025),11/12/2025,pH,7.16,7.16,,pH Units
ST25NOV13-01-036 ,TEM ABF Effluent (11-12-2025),11/12/2025,Soluble BOD,227,227,,mg/L
ST25NOV13-01-036 ,TEM ABF Effluent (11-12-2025),11/12/2025,% Volatile Suspended Solids,94,94,,%
ST25NOV13-01-036 ,TEM ABF Effluent (11-12-2025),11/12/2025,Total Suspended Solids,238,238,,mg/L
ST25NOV13-01-036 ,TEM ABF Effluent (11-12-2025),11/12/2025,Volatile Suspended Solids,224,224,,mg/L
ST25NOV14-01-034 ,TEM ABF Effluent (11-13-2025),11/13/2025,% Volatile Suspended Solids,85,85,,%
ST25NOV14-01-034 ,TEM ABF Effluent (11-13-2025),11/13/2025,Total Suspended Solids,175,175,,mg/L
ST25NOV14-01-034 ,TEM ABF Effluent (11-13-2025),11/13/2025,Volatile Suspended Solids,148,148,,mg/L
ST25NOV14-01-034 ,TEM ABF Effluent (11-13-2025),11/13/2025,pH,7.10,7.10,,pH Units
ST25NOV14-01-034 ,TEM ABF Effluent (11-13-2025),11/13/2025,Soluble BOD,310,310,,mg/L
ST25NOV15-02-033 ,TEM ABF Effluent (11-14-2025),11/14/2025,% Volatile Suspended Solids,98,98,,%
ST25NOV15-02-033 ,TEM ABF Effluent (11-14-2025),11/14/2025,Total Suspended Solids,142,142,,mg/L
ST25NOV15-02-033 ,TEM ABF Effluent (11-14-2025),11/14/2025,Volatile Suspended Solids,138,138,,mg/L
ST25NOV15-02-033 ,TEM ABF Effluent (11-14-2025),11/14/2025,pH,6.42,6.42,,pH Units
ST25NOV15-02-033 ,TEM ABF Effluent (11-14-2025),11/14/2025,Soluble BOD,281,281,,mg/L
ST25NOV16-02-033 ,TEM ABF Effluent (11-15-2025),11/15/2025,% Volatile Suspended Solids,91,91,,%
ST25NOV16-02-033 ,TEM ABF Effluent (11-15-2025),11/15/2025,Total Suspended Solids,167,167,,mg/L
ST25NOV16-02-033 ,TEM ABF Effluent (11-15-2025),11/15/2025,Volatile Suspended Solids,152,152,,mg/L
ST25NOV16-02-033 ,TEM ABF Effluent (11-15-2025),11/15/2025,pH,7.26,7.26,,pH Units
ST25NOV16-02-033 ,TEM ABF Effluent (11-15-2025),11/15/2025,Soluble BOD,>375,>375,T,mg/L
ST25NOV17-01-034 ,TEM ABF Effluent (11-16-2025),11/16/2025,% Volatile Suspended Solids,85,85,,%
ST25NOV17-01-034 ,TEM ABF Effluent (11-16-2025),11/16/2025,Total Suspended Solids,194,194,,mg/L
ST25NOV17-01-034 ,TEM ABF Effluent (11-16-2025),11/16/2025,Volatile Suspended Solids,165,165,,mg/L
ST25NOV17-01-034 ,TEM ABF Effluent (11-16-2025),11/16/2025,pH,7.41,7.41,,pH Units
ST25NOV17-01-034 ,TEM ABF Effluent (11-16-2025),11/16/2025,Soluble BOD,286,286,,mg/L
ST25NOV18-01-034 ,TEM ABF Effluent (11-17-2025),11/17/2025,% Volatile Suspended Solids,98,98,,%
ST25NOV18-01-034 ,TEM ABF Effluent (11-17-2025),11/17/2025,Total Suspended Solids,112,112,,mg/L
ST25NOV18-01-034 ,TEM ABF Effluent (11-17-2025),11/17/2025,Volatile Suspended Solids,109,109,,mg/L
ST25NOV18-01-034 ,TEM ABF Effluent (11-17-2025),11/17/2025,pH,6.87,6.87,,pH Units
ST25NOV18-01-034 ,TEM ABF Effluent (11-17-2025),11/17/2025,Soluble BOD,376,376,,mg/L
ST25NOV19-01-034,TEM ABF Effluent (11-18-2025),11/18/2025,% Volatile Suspended Solids,94,94,,%
ST25NOV19-01-034,TEM ABF Effluent (11-18-2025),11/18/2025,Total Suspended Solids,227,227,,mg/L
ST25NOV19-01-034,TEM ABF Effluent (11-18-2025),11/18/2025,Volatile Suspended Solids,213,213,,mg/L
ST25NOV19-01-034,TEM ABF Effluent (11-18-2025),11/18/2025,pH,7.44,7.44,,pH Units
ST25NOV19-01-034,TEM ABF Effluent (11-18-2025),11/18/2025,Soluble BOD,302,302,,mg/L
ST25NOV20-01-036 ,TEM ABF Effluent (11-19-2025),11/19/2025,pH,7.20,7.20,,pH Units
ST25NOV20-01-036 ,TEM ABF Effluent (11-19-2025),11/19/2025,Soluble BOD,345,345,,mg/L
ST25NOV20-01-036 ,TEM ABF Effluent (11-19-2025),11/19/2025,% Volatile Suspended Solids,96,96,,%
ST25NOV20-01-036 ,TEM ABF Effluent (11-19-2025),11/19/2025,Total Suspended Solids,197,197,,mg/L
ST25NOV20-01-036 ,TEM ABF Effluent (11-19-2025),11/19/2025,Volatile Suspended Solids,190,190,,mg/L
ST25NOV21-01-034 ,TEM ABF Effluent (11-20-2025),11/20/2025,% Volatile Suspended Solids,95,95,,%
ST25NOV21-01-034 ,TEM ABF Effluent (11-20-2025),11/20/2025,Total Suspended Solids,160,160,,mg/L
ST25NOV21-01-034 ,TEM ABF Effluent (11-20-2025),11/20/2025,Volatile Suspended Solids,151,151,,mg/L
ST25NOV21-01-034 ,TEM ABF Effluent (11-20-2025),11/20/2025,pH,7.23,7.23,,pH Units
ST25NOV21-01-034 ,TEM ABF Effluent (11-20-2025),11/20/2025,Soluble BOD,246,246,,mg/L
ST25NOV22-02-033 ,TEM ABF Effluent (11-21-2025),11/21/2025,% Volatile Suspended Solids,86,86,,%
ST25NOV22-02-033 ,TEM ABF Effluent (11-21-2025),11/21/2025,Total Suspended Solids,372,372,,mg/L
ST25NOV22-02-033 ,TEM ABF Effluent (11-21-2025),11/21/2025,Volatile Suspended Solids,320,320,,mg/L
ST25NOV22-02-033 ,TEM ABF Effluent (11-21-2025),11/21/2025,pH,7.12,7.12,,pH Units
ST25NOV22-02-033 ,TEM ABF Effluent (11-21-2025),11/21/2025,Soluble BOD,173,173,,mg/L
ST25NOV23-02-033 ,TEM ABF Effluent (11-22-2025),11/22/2025,% Volatile Suspended Solids,85,85,,%
ST25NOV23-02-033 ,TEM ABF Effluent (11-22-2025),11/22/2025,Total Suspended Solids,243,243,,mg/L
ST25NOV23-02-033 ,TEM ABF Effluent (11-22-2025),11/22/2025,Volatile Suspended Solids,206,206,,mg/L
ST25NOV23-02-033 ,TEM ABF Effluent (11-22-2025),11/22/2025,pH,7.25,7.25,,pH Units
ST25NOV23-02-033 ,TEM ABF Effluent (11-22-2025),11/22/2025,Soluble BOD,163,163,,mg/L
ST25NOV24-01-034 ,TEM ABF Effluent (11-23-2025),11/23/2025,% Volatile Suspended Solids,93,93,,%
ST25NOV24-01-034 ,TEM ABF Effluent (11-23-2025),11/23/2025,Total Suspended Solids,151,151,,mg/L
ST25NOV24-01-034 ,TEM ABF Effluent (11-23-2025),11/23/2025,Volatile Suspended Solids,141,141,,mg/L
ST25NOV24-01-034 ,TEM ABF Effluent (11-23-2025),11/23/2025,pH,7.60,7.60,,pH Units
ST25NOV24-01-034 ,TEM ABF Effluent (11-23-2025),11/23/2025,Soluble BOD,183,183,,mg/L
ST25NOV25-01-034 ,TEM ABF Effluent (11-24-2025),11/24/2025,% Volatile Suspended Solids,99,99,,%
ST25NOV25-01-034 ,TEM ABF Effluent (11-24-2025),11/24/2025,Total Suspended Solids,191,191,,mg/L
ST25NOV25-01-034 ,TEM ABF Effluent (11-24-2025),11/24/2025,Volatile Suspended Solids,189,189,,mg/L
ST25NOV25-01-034 ,TEM ABF Effluent (11-24-2025),11/24/2025,pH,7.27,7.27,,pH Units
ST25NOV25-01-034 ,TEM ABF Effluent (11-24-2025),11/24/2025,Soluble BOD,315,315,,mg/L
ST25NOV26-01-034 ,TEM ABF Effluent (11-25-2025),11/25/2025,% Volatile Suspended Solids,95,95,,%
ST25NOV26-01-034 ,TEM ABF Effluent (11-25-2025),11/25/2025,Total Suspended Solids,260,260,,mg/L
ST25NOV26-01-034 ,TEM ABF Effluent (11-25-2025),11/25/2025,Volatile Suspended Solids,246,246,,mg/L
ST25NOV26-01-034 ,TEM ABF Effluent (11-25-2025),11/25/2025,pH,7.15,7.15,,pH Units
ST25NOV26-01-034 ,TEM ABF Effluent (11-25-2025),11/25/2025,Soluble BOD,292,292,,mg/L
ST25NOV27-01-036 ,TEM ABF Effluent (11-26-2025),11/26/2025,pH,7.41,7.41,,pH Units
ST25NOV27-01-036 ,TEM ABF Effluent (11-26-2025),11/26/2025,Soluble BOD,142,142,,mg/L
ST25NOV27-01-036 ,TEM ABF Effluent (11-26-2025),11/26/2025,% Volatile Suspended Solids,89,89,,%
ST25NOV27-01-036 ,TEM ABF Effluent (11-26-2025),11/26/2025,Total Suspended Solids,393,393,,mg/L
ST25NOV27-01-036 ,TEM ABF Effluent (11-26-2025),11/26/2025,Volatile Suspended Solids,351,351,,mg/L
ST25NOV28-01-034 ,TEM ABF Effluent (11-27-2025),11/27/2025,% Volatile Suspended Solids,89,89,,%
ST25NOV28-01-034 ,TEM ABF Effluent (11-27-2025),11/27/2025,Total Suspended Solids,324,324,,mg/L
ST25NOV28-01-034 ,TEM ABF Effluent (11-27-2025),11/27/2025,Volatile Suspended Solids,290,290,,mg/L
ST25NOV28-01-034 ,TEM ABF Effluent (11-27-2025),11/27/2025,pH,7.56,7.56,,pH Units
ST25NOV28-01-034 ,TEM ABF Effluent (11-27-2025),11/27/2025,Soluble BOD,200,200,,mg/L
ST25NOV29-02-033 ,TEM ABF Effluent (11-28-2025),11/28/2025,% Volatile Suspended Solids,85,85,,%
ST25NOV29-02-033 ,TEM ABF Effluent (11-28-2025),11/28/2025,Total Suspended Solids,268,268,,mg/L
ST25NOV29-02-033 ,TEM ABF Effluent (11-28-2025),11/28/2025,Volatile Suspended Solids,228,228,,mg/L
ST25NOV29-02-033 ,TEM ABF Effluent (11-28-2025),11/28/2025,pH,7.43,7.43,,pH Units
ST25NOV29-02-033 ,TEM ABF Effluent (11-28-2025),11/28/2025,Soluble BOD,125,125,,mg/L
ST25NOV30-02-033 ,TEM ABF Effluent (11-29-2025),11/29/2025,% Volatile Suspended Solids,95,95,,%
ST25NOV30-02-033 ,TEM ABF Effluent (11-29-2025),11/29/2025,Total Suspended Solids,307,307,,mg/L
ST25NOV30-02-033 ,TEM ABF Effluent (11-29-2025),11/29/2025,Volatile Suspended Solids,291,291,,mg/L
ST25NOV30-02-033 ,TEM ABF Effluent (11-29-2025),11/29/2025,pH,7.70,7.70,,pH Units
ST25NOV30-02-033 ,TEM ABF Effluent (11-29-2025),11/29/2025,Soluble BOD,144,144,,mg/L
ST25DEC01-06-034 ,TEM ABF Effluent (11-30-2025),11/30/2025,% Volatile Suspended Solids,79,79,,%
ST25DEC01-06-034 ,TEM ABF Effluent (11-30-2025),11/30/2025,Total Suspended Solids,373,373,,mg/L
ST25DEC01-06-034 ,TEM ABF Effluent (11-30-2025),11/30/2025,Volatile Suspended Solids,293,293,,mg/L
ST25DEC01-06-034 ,TEM ABF Effluent (11-30-2025),11/30/2025,pH,7.65,7.65,,pH Units
ST25DEC01-06-034 ,TEM ABF Effluent (11-30-2025),11/30/2025,Soluble BOD,133,133,,mg/L
ST25DEC02-01-034 ,TEM ABF Effluent (12-01-2025),12/1/2025,% Volatile Suspended Solids,80,80,,%
ST25DEC02-01-034 ,TEM ABF Effluent (12-01-2025),12/1/2025,Total Suspended Solids,890,890,,mg/L
ST25DEC02-01-034 ,TEM ABF Effluent (12-01-2025),12/1/2025,Volatile Suspended Solids,715,715,,mg/L
ST25DEC02-01-034 ,TEM ABF Effluent (12-01-2025),12/1/2025,pH,7.51,7.51,,pH Units
ST25DEC02-01-034 ,TEM ABF Effluent (12-01-2025),12/1/2025,Soluble BOD,332,332,,mg/L
ST25DEC03-01-034 ,TEM ABF Effluent (12-02-2025),12/2/2025,% Volatile Suspended Solids,92,92,,%
ST25DEC03-01-034 ,TEM ABF Effluent (12-02-2025),12/2/2025,Total Suspended Solids,825,825,,mg/L
ST25DEC03-01-034 ,TEM ABF Effluent (12-02-2025),12/2/2025,Volatile Suspended Solids,760,760,,mg/L
ST25DEC03-01-034 ,TEM ABF Effluent (12-02-2025),12/2/2025,pH,7.26,7.26,,pH Units
ST25DEC03-01-034 ,TEM ABF Effluent (12-02-2025),12/2/2025,Soluble BOD,295,295,,mg/L
ST25DEC04-01-036 ,TEM ABF Effluent (12-03-2025),12/3/2025,pH,7.50,7.50,,pH Units
ST25DEC04-01-036 ,TEM ABF Effluent (12-03-2025),12/3/2025,Soluble BOD,305,305,,mg/L
ST25DEC04-01-036 ,TEM ABF Effluent (12-03-2025),12/3/2025,% Volatile Suspended Solids,83,83,,%
ST25DEC04-01-036 ,TEM ABF Effluent (12-03-2025),12/3/2025,Total Suspended Solids,375,375,,mg/L
ST25DEC04-01-036 ,TEM ABF Effluent (12-03-2025),12/3/2025,Volatile Suspended Solids,313,313,,mg/L
ST25DEC05-01-034 ,TEM ABF Effluent (12-04-2025),12/4/2025,% Volatile Suspended Solids,88,88,,%
ST25DEC05-01-034 ,TEM ABF Effluent (12-04-2025),12/4/2025,Total Suspended Solids,390,390,,mg/L
ST25DEC05-01-034 ,TEM ABF Effluent (12-04-2025),12/4/2025,Volatile Suspended Solids,345,345,,mg/L
ST25DEC05-01-034 ,TEM ABF Effluent (12-04-2025),12/4/2025,pH,7.45,7.45,,pH Units
ST25DEC05-01-034 ,TEM ABF Effluent (12-04-2025),12/4/2025,Soluble BOD,304,304,,mg/L
ST25DEC06-02-033 ,TEM ABF Effluent (12-05-2025),12/5/2025,% Volatile Suspended Solids,92,92,,%
ST25DEC06-02-033 ,TEM ABF Effluent (12-05-2025),12/5/2025,Total Suspended Solids,450,450,,mg/L
ST25DEC06-02-033 ,TEM ABF Effluent (12-05-2025),12/5/2025,Volatile Suspended Solids,415,415,,mg/L
ST25DEC06-02-033 ,TEM ABF Effluent (12-05-2025),12/5/2025,pH,7.66,7.66,,pH Units
ST25DEC06-02-033 ,TEM ABF Effluent (12-05-2025),12/5/2025,Soluble BOD,197,197,,mg/L
ST25DEC07-02-033 ,TEM ABF Effluent (12-06-2025),12/6/2025,% Volatile Suspended Solids,85,85,,%
ST25DEC07-02-033 ,TEM ABF Effluent (12-06-2025),12/6/2025,Total Suspended Solids,353,353,,mg/L
ST25DEC07-02-033 ,TEM ABF Effluent (12-06-2025),12/6/2025,Volatile Suspended Solids,300,300,,mg/L
ST25DEC07-02-033 ,TEM ABF Effluent (12-06-2025),12/6/2025,pH,7.66,7.66,,pH Units
ST25DEC07-02-033 ,TEM ABF Effluent (12-06-2025),12/6/2025,Soluble BOD,185,185,,mg/L
ST25DEC08-01-034 ,TEM ABF Effluent (12-07-2025),12/7/2025,% Volatile Suspended Solids,89,89,,%
ST25DEC08-01-034 ,TEM ABF Effluent (12-07-2025),12/7/2025,Total Suspended Solids,358,358,,mg/L
ST25DEC08-01-034 ,TEM ABF Effluent (12-07-2025),12/7/2025,Volatile Suspended Solids,318,318,,mg/L
ST25DEC08-01-034 ,TEM ABF Effluent (12-07-2025),12/7/2025,pH,7.71,7.71,,pH Units
ST25DEC08-01-034 ,TEM ABF Effluent (12-07-2025),12/7/2025,Soluble BOD,139,139,,mg/L
ST25DEC09-01-034 ,TEM ABF Effluent (12-08-2025),12/8/2025,% Volatile Suspended Solids,89,89,,%
ST25DEC09-01-034 ,TEM ABF Effluent (12-08-2025),12/8/2025,Total Suspended Solids,363,363,,mg/L
ST25DEC09-01-034 ,TEM ABF Effluent (12-08-2025),12/8/2025,Volatile Suspended Solids,323,323,,mg/L
ST25DEC09-01-034 ,TEM ABF Effluent (12-08-2025),12/8/2025,pH,7.77,7.77,,pH Units
ST25DEC09-01-034 ,TEM ABF Effluent (12-08-2025),12/8/2025,Soluble BOD,268,268,,mg/L
ST25DEC10-01-034 ,TEM ABF Effluent (12-09-2025),12/9/2025,% Volatile Suspended Solids,91,91,,%
ST25DEC10-01-034 ,TEM ABF Effluent (12-09-2025),12/9/2025,Total Suspended Solids,542,542,,mg/L
ST25DEC10-01-034 ,TEM ABF Effluent (12-09-2025),12/9/2025,Volatile Suspended Solids,494,494,,mg/L
ST25DEC10-01-034 ,TEM ABF Effluent (12-09-2025),12/9/2025,pH,7.61,7.61,,pH Units
ST25DEC10-01-034 ,TEM ABF Effluent (12-09-2025),12/9/2025,Soluble BOD,335,335,,mg/L
ST25DEC11-01-036 ,TEM ABF Effluent (12-10-2025),12/10/2025,pH,7.56,7.56,,pH Units
ST25DEC11-01-036 ,TEM ABF Effluent (12-10-2025),12/10/2025,Soluble BOD,263,263,,mg/L
ST25DEC11-01-036 ,TEM ABF Effluent (12-10-2025),12/10/2025,% Volatile Suspended Solids,89,89,,%
ST25DEC11-01-036 ,TEM ABF Effluent (12-10-2025),12/10/2025,Total Suspended Solids,402,402,,mg/L
ST25DEC11-01-036 ,TEM ABF Effluent (12-10-2025),12/10/2025,Volatile Suspended Solids,356,356,,mg/L
ST25DEC12-01-034 ,TEM ABF Effluent (12-11-2025),12/11/2025,% Volatile Suspended Solids,82,82,,%
ST25DEC12-01-034 ,TEM ABF Effluent (12-11-2025),12/11/2025,Total Suspended Solids,564,564,,mg/L
ST25DEC12-01-034 ,TEM ABF Effluent (12-11-2025),12/11/2025,Volatile Suspended Solids,460,460,,mg/L
ST25DEC12-01-034 ,TEM ABF Effluent (12-11-2025),12/11/2025,pH,7.49,7.49,,pH Units
ST25DEC12-01-034 ,TEM ABF Effluent (12-11-2025),12/11/2025,Soluble BOD,325,325,,mg/L
ST25DEC13-02-033 ,TEM ABF Effluent (12-12-2025),12/12/2025,% Volatile Suspended Solids,88,88,,%
ST25DEC13-02-033 ,TEM ABF Effluent (12-12-2025),12/12/2025,Total Suspended Solids,284,284,,mg/L
ST25DEC13-02-033 ,TEM ABF Effluent (12-12-2025),12/12/2025,Volatile Suspended Solids,250,250,,mg/L
